symbol,date,open,high,low,close,volume,MA_20,MA_50,MA_200,RSI,MACD,Signal,ATR,ADX,BL_Upper,BL_Lower
ETH,2017-08-18,296.95,311.79,295.19,298.3,5008.26624,298.4595,300.91900000000004,305.98769999999996,37.46384136112348,-0.9275355269464285,-1.049518551831051,0.37722763963965,55.43980172918833,300.07385405039304,296.84514594960694
ETH,2017-08-19,298.2,299.9,278.0,288.64,1739.6764,287.35499999999996,286.7106,285.96355,87.06144022142394,0.5593378923151135,0.376669409984121,0.13717713613015725,47.89509483495687,288.8743090534968,285.8356909465031
ETH,2017-08-20,285.96,296.92,282.85,293.41,600.93553,293.41,293.2292,294.44725,87.53135218911162,0.03842561616903595,0.0544973534283469,0.0045175807810186284,73.83046418378272,293.41,293.41
ETH,2017-08-21,299.1,346.52,294.6,328.68,2081.8554,335.3405,339.04740000000004,332.0351,18.524498035226063,-2.2088061126091247,-1.6284613756116053,1.1059347457194102,50.39004146739912,340.441031246831,330.239968753169
ETH,2017-08-22,320.0,323.58,144.21,306.84,4638.43385,304.24249999999995,305.9314,308.1214,55.671001303176105,-0.34389823735165237,-0.7260296768883344,1.6611279177462583,13.819353878973772,307.04895595012493,301.43604404987497
ETH,2017-08-23,310.56,324.99,310.56,315.74,5117.62609,315.5985,315.56719999999996,317.2536,51.04879267007532,-0.07009621804377275,0.014737604781807457,1.0697251467745854,19.791650961869575,317.26560857475346,313.93139142524655
ETH,2017-08-24,315.01,328.04,314.01,323.71,4382.29003,323.267,323.76160000000004,320.94859999999994,51.97492908558339,-0.14075253031944612,-0.07595683562418788,0.830492716764195,11.002839395667294,324.9086589170734,321.6253410829266
ETH,2017-08-25,324.42,335.41,324.42,331.68,4802.26481,332.01,332.09340000000003,331.31269999999995,47.778078306586806,-0.06408294328377906,-0.0002919933466334571,0.6675320308202759,29.023896100856728,333.5841537409121,330.4358462590879
ETH,2017-08-26,327.24,335.44,323.41,329.93,3018.00513,332.4465,331.81660000000005,328.4774,39.508137353506896,-0.4483952096557573,-0.04564525442893306,0.9218418117937316,33.26729627106962,335.69028343913754,329.2027165608625
ETH,2017-08-27,335.0,338.42,330.73,333.68,2575.02264,333.8195,334.1544,334.43120000000005,47.01406896225263,0.020069021950007482,-0.07610859253750595,0.6037302233915718,25.35679487894625,334.59984543633163,333.0391545636684
ETH,2017-08-28,345.89,350.85,331.95,342.0,2551.82864,342.4965,342.8092,341.98940000000005,45.14571951622752,-0.29964025809431405,-0.25041506339592745,0.4253638450634794,16.794805764486075,344.007609195258,340.98539080474205
ETH,2017-08-29,351.94,367.13,347.06,361.67,1593.59652,362.4405,362.8506,360.92479999999995,42.67356080028791,-0.17607977479775627,-0.14662036872078685,0.7610092415916688,34.49135240181012,364.13003810256026,360.7509618974397
ETH,2017-08-30,373.21,393.71,362.05,374.45,2678.68735,376.207,377.76340000000005,377.66519999999997,34.038826404539684,-0.5737581310042401,-0.5218069618189136,0.7912459453268077,31.367854007359092,377.38175273994096,375.032247260059
ETH,2017-08-31,382.62,389.36,377.78,387.18,2322.34283,387.70300000000003,387.52479999999997,386.27705000000003,47.31715203478941,0.2450895164879512,0.20926197116078746,1.07143582027116,48.70376965925412,389.56234504594937,385.8436549540507
ETH,2017-09-01,390.45,394.39,383.18,387.79,2630.41013,387.5835,388.9798,389.1853,46.55102617997921,-0.3003416099443257,-0.42125626064566174,0.42027750778758743,55.45959810871077,388.36093874356357,386.80606125643646
