symbol,price_usd,pct_change_24h,market_cap_usd,market_cap_dominance_pct,volume_24h_usd,fetched_at,rsi_last_hist,volatility_30d_hist,max_drawdown_to_date_hist,last_hist_date
BTC,64749.0,2.0987388502730595,1298855398668.1062,82.53216713096111,27246955997.975197,2026-07-30T21:03:38.368993+00:00,52.148322186005856,0.31572772644116814,-0.8342120104438642,2026-07-30
ETH,1920.94,2.0704490701212324,231746177585.2341,14.725668677236097,7536943225.985199,2026-07-30T21:03:38.368993+00:00,58.39742646349617,0.45665688550422623,-0.9391600504235132,2026-07-30
SOL,74.49,2.662780242793712,43154988998.48064,2.7421641918027704,1463340775.1925216,2026-07-30T21:03:38.368993+00:00,45.9947444682548,0.41620962351740987,-0.7488718771469888,2026-07-30
